"filename", "language", "C++", "CMake", "Dart", "YAML", "Markdown", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\add_guest_dialog.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 122
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\change_group_currency_dialog.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\change_nickname_dialog.dart", "Dart", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\confirm_leave_dialog.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 79
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\download_export_dialog.dart", "Dart", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 141
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\rename_group_dialog.dart", "Dart", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\select_member_to_merge_dialog.dart", "Dart", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 185
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\dialogs\share_group_dialog.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\group_members.dart", "Dart", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 310
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\group_settings_page.dart", "Dart", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 275
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\invitation.dart", "Dart", 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 542
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\join_group.dart", "Dart", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 449
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\main_group_page.dart", "Dart", 0, 0, 911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 964
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\member_all_info.dart", "Dart", 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 391
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\merge_on_join_page.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 120
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\qr_scanner_page.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 108
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\history\all_history_page.dart", "Dart", 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 528
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\history\history.dart", "Dart", 0, 0, 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 430
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\history\history_filter.dart", "Dart", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 170
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main.dart", "Dart", 0, 0, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 480
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\custom_alert_dialog.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\group_settings_speed_dial.dart", "Dart", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 210
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\iapp_not_supported_dialog.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\in_app_purchase_page.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 186
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\like_app_dialog.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\main_speed_dial.dart", "Dart", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 150
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\rate_app_dialog.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\report_a_bug_page.dart", "Dart", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 192
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\statistics_page.dart", "Dart", 0, 0, 755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 780
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\trial_ended_dialog.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 83
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\main\trial_version_dialog.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\payment\add_modify_payment.dart", "Dart", 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 325
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\payment\add_payment_page.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 149
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\payment\modify_payment_dialog.dart", "Dart", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 169
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\payment\payment_all_info.dart", "Dart", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 222
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\payment\payment_entry.dart", "Dart", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 194
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\purchase\add_modify_purchase.dart", "Dart", 0, 0, 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 382
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\purchase\add_purchase_page.dart", "Dart", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 262
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\purchase\modify_purchase_dialog.dart", "Dart", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 181
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\purchase\purchase_all_info.dart", "Dart", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 235
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\purchase\purchase_entry.dart", "Dart", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 266
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\shopping\edit_request_dialog.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 123
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\shopping\im_shopping_dialog.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 126
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\shopping\shopping_all_info.dart", "Dart", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 298
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\shopping\shopping_list.dart", "Dart", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 353
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\shopping\shopping_list_entry.dart", "Dart", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 301
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\about_us.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 77
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_language.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 95
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_password.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_password_dialog.dart", "Dart", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 212
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_user_currency.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_user_currency_dialog.dart", "Dart", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_username.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\change_username_dialog.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 120
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\color_picker.dart", "Dart", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 270
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\delete_all_data.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\personalised_ads.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\reset_tutorial.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\user_settings\user_settings_page.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\sszajbely\FlutterProjects\lender_app\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\sszajbely\FlutterProjects\lender_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\sszajbely\FlutterProjects\lender_app\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\sszajbely\FlutterProjects\lender_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
